"Table_Name","Type","Field_Name","Indicator_Name","Description"
"-","Glossary Definition","-","NHDPlus2","The National Hydrography Dataset Plus Version 2 (NHDPlus2) is a collection of geospatial datasets on the location and attributes of surface waters in the United States and their drainage areas. NHDPlus2 datasets are derived from static snapshots of the National Hydrography Dataset (NHD) surface water network, Watershed Boundary Dataset (WBD) hydrologic units (12-digit), and National Elevation Dataset (NED) topography. NHDPlus2 is the current standard for US EPA and many other users of nationally consistent geospatial data on surface waters. For more information and data access go to: http://www.horizon-systems.com/NHDPlus/NHDPlusV2_home.php."
"-","Glossary Definition","-","NHD Snapshot","The NHDPlus2 National Hydrography Dataset Snapshot (NHD Snapshot) is a geospatial database of surface water features (rivers, streams, lakes, reservoirs, etc.) in the United States. The NHD Snapshot depicts the location of surface waters at medium resolution (1:100,000-scale or better) as line or polygon features with information on upstream/downstream connections. The NHD Snapshot is a static copy of the National Hydrography Dataset (NHD) maintained by the US Geological Survey which was used for development of NHDPlus2. Because the NHD undergoes frequent updates by USGS, and because improvements were applied during NHDPlus2 development, the NHD Snapshot is provided for download by NHDPlus2 developers to serve as a standard hydrography dataset for users."
"-","Glossary Definition","-","NED Snapshot","The NHDPlus2 National Elevation Dataset Snapshot (NED Snapshot) is a geospatial gridded dataset of the land surface elevation of the United States at 30-meter resolution. The NED Snapshot is a static copy of the National Elevation Dataset (NED) maintained by the US Geological Survey (USGS) which was used for development of NHDPlus2. Because the NED undergoes frequent updates by USGS, the NED Snapshot is provided for download by NHDPlus2 developers to serve as a standard elevation dataset for users."
"-","Glossary Definition","-","WBD Snapshot","The NHDPlus2 Watershed Boundary Dataset Snapshot (WBD Snapshot) is a geospatial dataset of surface water drainage area boundaries in the United States. The WBD Snapshot is a static copy of 12-digit hydrologic unit (HUC12) boundaries in the Watershed Boundary Dataset (WBD) maintained by the US Geological Survey and Natural Resources Conservation Service which was used for development of NHDPlus2. Because the WBD undergoes frequent updates by USGS and NRCS, the WBD Snapshot is provided for download by NHDPlus2 developers to serve as a standard HUC12 boundary dataset for users."
"-","Glossary Definition","-","WBD Snapshot, EnviroAtlas Version","The EnviroAtlas version of the NHDPlus2 Watershed Boundary Dataset (WBD Snapshot, EnviroAtlas Version) is an edited version of the WBD Snapshot. To create the EnviroAtlas Version, the WBD Snapshot was clipped to the boundaries of the United States and manually edited to eliminate overlapping HUC12 boundaries. Additional information on the WBD Snapshot, EnviroAtlas Version can be found at: http://www.epa.gov/enviroatlas/enviroatlas-data-download-step-2."
"-","Glossary Definition","-","2011 CDL-NLCD Hybrid Land Cover","The 2011 CDL-NLCD Hybrid Land Cover dataset is a national land cover grid that combines the 2011 Cropland Data Layer (CDL) and the 2011 National Land Cover Database (NLCD) Land Cover datasets. The 2011 NLCD Land Cover dataset was used as the base layer. Agricultural land cover classes from the 2011 CDL were then overlaid onto the base layer except where single, isolated CDL crop pixels had less than 90% confidence in crop type classification. This dataset was produced by EPA EnviroAtlas as a continuous 30 meter resolution grid for the United States. More information on the 2011 CDL-NLCD Hybrid Land Cover dataset can be found at: https://edg.epa.gov/data/Public/ORD/EnviroAtlas."
"-","Glossary Definition","-","Water Mask","The Water Mask is a geospatial grid dataset depicting the location of surface waters in the United States. The Water Mask combines surface water features in the NHDPlus2 with areas classified as open water or wetlands in the National Land Cover Database (NLCD) 2011 Land Cover dataset. The Water Mask was created by overlaying a grid of NHDPlus2 surface water features (the NHDPlus2 CatSeed grid) with pixels in the NLCD2011 Land Cover dataset classified as open water (code 11), woody wetlands (code 90), and emergent herbaceous wetlands (code 95). The spatial resolution of the Water Mask grid is 30 meters."
"-","Glossary Definition","-","Wetness Index","The Wetness Index is a geospatial grid dataset of Wetness Index values for the United States. The Wetness Index is a relative measure of average soil moisture and runoff potential based on topography and is also known as the Topographic Index. The dataset stores a Wetness Index value for each grid pixel based on the magnitude of the pixel's upstream drainage area and pixel slope. The Wetness Index grid was generated from the NHDPlus2 NED Snapshot and NHDPlus2 Flow Accumulation grids using the following steps: (1) the NED Snapshot was used to create a gridded dataset of land surface slope in degrees; (2) a Wetness Index value was calculated for each grid pixel as ln(Flow Accumulation/tan(Slope)); (3) a smoothed Wetness Index grid was calculated as the average of step 2 values in each 3-by-3 pixel block; (4) the final Wetness Index value for each grid pixel was calculated as the average of the unsmoothed value (step 2) and the smoothed value (step 3). The spatial resolution of the Wetness Index grid is 30 meters."
"-","Glossary Definition","-","Watershed (WS)","Watershed (WS) is used to describe indicators that are measured throughout the entire geographic area of the HUC12. Although all indicators are expressed as attributes of HUC12s, some indicators measure conditions throughout the entire geographic area of the HUC12, while others measure conditions within a subarea of the HUC12. For example, watershed (WS) land cover indicators measure land cover in the entire HUC12 while riparian zone (RZ) land cover indicators measure land cover in the buffer surrounding surface water features in the HUC12."
"-","Glossary Definition","-","Riparian Zone (RZ)","The Riparian Zone (RZ) is the corridor of land adjacent to surface waters. The RZ is delineated for the United States in a geospatial grid dataset depicting surface water features and adjacent buffer areas. The RZ grid was generated by creating a 108 meter buffer around surface waters in the Water Mask grid. The buffer includes areas on both sides of surface waters and the buffer size of 108 meters was selected based on the spatial resolution of the Water Mask grid to approximate a 100 meter buffer. The spatial resolution of the RZ grid is 30 meters. (See also Water Mask glossary definition)."
"-","Glossary Definition","-","Hydrologically Connected Zone (HCZ)","The Hydrologically Connected Zone (HCZ) is comprised of wet areas with high runoff potential that are contiguous to surface water. The HCZ is delineated for the United States for indicator calculations in a geospatial grid dataset depicting surface water features and wet areas that are contiguous to surface water. The HCZ grid was generated using the Wetness Index and Water Mask grids. The Wetness Index grid was first used to identify wet areas based on topography (i.e., low-lying, low-slope areas), defined as pixels with a Wetness Index of 550 or greater. The HCZ was then delineated as wet pixels in the Wetness Index grid that were also contiguous to surface water in the Water Mask. Wet pixels that were isolated from surface water were not included in the HCZ grid. The spatial resolution of the HCZ grid is 30 meters. (See also Water Mask and Wetness Index glossary definitions)."
"-","Glossary Definition","-","Hydrologically Active Zone (HAZ)","The Hydrologically Active Zone (HAZ) is a geospatial grid dataset that combines the Riparian Zone grid and the Hydrologically Connected Zone grid. (See also Riparian Zone and Hydrologically Connected Zone definitions)."
"-","Glossary Definition","-","303(d) Listed Waters Dataset","The 303(d) Listed Impaired Waters NHDPlus Indexed Dataset (303(d) Listed Waters) is a geospatial dataset of waters designated under Section 303(d) of the Clean Water Act as impaired and requiring a Total Maximum Daily Load. The 303(d) Listed Waters dataset is produced and maintained by EPA Office of Water. It depicts the location of 303(d) surface waters as line and polygon features and stores 303(d) listing attributes such as the pollutant(s) causing impairment. The 303(d) Listed Waters dataset uses the NHD Snapshot to map 303(d) listed waters. Most water features in the 303(d) Listed Waters dataset therefore have a match in the NHD Snapshot. Custom-added features that are not present in the NHD Snapshot are also used when a 303(d) listed water feature is not represented in the NHD Snapshot. Additional information is available at: http://www.epa.gov/waterdata/waters-geospatial-data-downloads."
"-","Glossary Definition","-","305(b) Assessed Waters Dataset","The 305(b) Waters as Assessed NHDPlus Indexed Dataset (305(b) Assessed Waters) is a geospatial dataset of waters assessed under Section 305(b) of the Clean Water Act for attainment of water quality standards. The 305(b) Assessed Waters dataset is produced and maintained by EPA Office of Water. It depicts the location of 305(b) assessed waters as line and polygon features and stores 305(b) assessment attributes such as the designated use(s) assessed. The 305(b) Assessed Waters dataset uses the NHD Snapshot to map 305(b) assessed waters. Most water features in the 305(b) Assessed Waters dataset therefore have a match in the NHD Snapshot. Custom-added features that are not present in the NHD Snapshot are also used when a 305(b) Assessed water feature is not represented in the NHD Snapshot. Additional information is available at: http://www.epa.gov/waterdata/waters-geospatial-data-downloads."
"-","Glossary Definition","-","TMDL Waters Dataset","The Impaired Waters with TMDLs NHDPlus Indexed Dataset (TMDL Waters) is a geospatial dataset of waters with an approved Total Maximum Daily Load (TMDL). It depicts the location of waters with TMDLs as line and polygon features and stores TMDL attributes such as TMDL pollutant(s). The TMDL Waters dataset uses the NHD Snapshot to map waters with TMDLs. Most water features in the TMDL Waters dataset therefore have a match in the NHD Snapshot. Custom-added features that are not present in the NHD Snapshot are also used when a water body with a TMDL is not represented in the NHD Snapshot. Additional information is available at: http://www.epa.gov/waterdata/waters-geospatial-data-downloads."
"-","Glossary Definition","-","EnviroAtlas","EnviroAtlas is a project led by EPA Office of Research and Development that provides tool and data for exploring the benefits that people receive from nature. The EnviroAtlas team has developed several geospatial datasets on watershed conditions, and dozens of indicators of watershed conditions measured for all HUC12s in the nation. Additional information on EnviroAtlas can be found at: http://www.epa.gov/enviroatlas."
"-","Glossary Definition","-","Preliminary Healthy Watersheds Assessment (PHWA)","The 2016 EPA Preliminary Healthy Watersheds Assessment was completed in 2016 by the US EPA Healthy Watersheds Program. The PHWA characterizes watershed health and vulnerability at the 12-digit hydrologic unit (HUC12) watershed scale across each state and ecoregion in the contiguous US. By providing a consistent, base-level characterization of watershed health and vulnerability at the HUC12 scale, the PHWA: ensures that states have basic, statewide information on gradients of watershed condition that can help them identify and prioritize opportunities for healthy waters protection, communicate with protection partners, and support protection approaches; provides a foundation of nationally available watershed condition data that can be built on and enhanced as better data become available; supports state efforts to include healthy watersheds protection as part of their Integrated Reporting and nonpoint source pollution control strategies; and support the Clean Water Act goal of 'maintaining' as well as restoring the integrity of waters across the nation. Additional information can be found at: https://www.epa.gov/sites/production/files/2015-11/documents/151030national_phwa_factsheet.pdf."
"All Tables","Base Information","HUC12_TEXT","Hydrologic Unit Code 12-Digit (HUC12)","Twelve-digit Hydrologic Unit Code (HUC12) from the NHDPlus2 WBD Snapshot, EnviroAtlas Version (February 2015 version). The 12-digit Hydrologic Unit is the smallest drainage area delineation in the Watershed Boundary Dataset (WBD) maintained by the US Geological Survey and Natural Resources Conservation Service. They are identified by their 12-digit Hydrologic Unit Code (HUC) and are therefore referred to as HUC12s. (See also WBD Snapshot, EnviroAtlas Version glossary definitions)."
"All Tables","Base Information","NAME_HUC12","Name HUC12 Watershed","Name of the HUC12. Source data was the NHDPlus2 WBD Snapshot (January 2015 version). (See also WBD Snapshot glossary definition)."
"All Tables","Base Information","STATE_MAJ_2013","Majority State in HUC12 (2013)","The majority state in the HUC12, defined as the state with the greatest area in the HUC12. Source data was the US Census Bureau 2013 TIGER state boundary dataset (http://www2.census.gov/geo/tiger/TIGER2013/STATE/; downloaded July 2013)."
"All Tables","Base Information","ECOREGION2013L3_1STCODE","Level 3 EcoRegion with Largest Area (2013)","The Level III Ecoregion code with the largest area in the HUC12. Source data was the Level III Ecoregions of the Conterminous United States geospatial dataset (April 2013 version; http://archive.epa.gov/wed/ecoregions/web/html/level_iii_iv-2.html). Calculated by intersecting HUC12 polygons with ecoregion polygons and selecting the ecoregion with the largest area in the HUC12."
"PHWA_Indices","Index Score, Ecoregion","PHWA_HEALTH_NDX_ER_2016","PHWA Watershed Health Index, ER (2016)","The ecoregional Watershed Health Index score for the HUC12 from the 2016 EPA Preliminary Healthy Watersheds Assessment (PHWA). The Watershed Health Index is an integrated measure of watershed condition that combines Landscape Condition, Hydrologic, Geomorphology, Habitat, Water Quality, and Biological Condition Sub-Index scores. Higher scores correspond to greater potential for a watershed to have the structure and function in place to support healthy aquatic ecosystems. Source data were ecoregional Watershed Health Index scores for HUC12s developed as part of the 2016 EPA Preliminary Healthy Watersheds Assessment (February 8, 2017 version). (See also PHWA glossary definition)."
"PHWA_Indices","Index Score, Ecoregion","PHWA_VULN_NDX_ER_2016","PHWA Watershed Vulnerability Index, ER (2016)","The ecoregional Watershed Vulnerability Index score for the HUC12 from the 2016 EPA Preliminary Healthy Watersheds Assessment (PHWA). The Watershed Vulnerability Index characterizes the vulnerability of aquatic ecosystems in a watershed to future alteration based on Land Use Change, Water Use Change, and Wildfire Vulnerability Sub-Index scores. Higher scores correspond to greater potential vulnerability of aquatic ecosystems to future degradation. Source data were ecoregional Watershed Vulnerability Index scores for HUC12s developed as part of the 2016 EPA Preliminary Healthy Watersheds Assessment (February 8, 2017 version). (See also PHWA glossary definition)."
"PHWA_Indices","Sub-Index Score, Ecoregion","PHWA_LANDSC_SUBNDX_ER_2016","PHWA Landscape Sub-Index, ER (2016)","The ecoregional Landscape Condition Sub-Index score for the HUC12 from the 2016 EPA Preliminary Healthy Watersheds Assessment (PHWA). The Landscape Condition Sub-Index combines multiple measures of the extent and connectivity of natural land cover in a watershed. Higher scores correspond to greater extent and connectivity of natural land cover. Source data were ecoregional Landscape Condition Sub-Index scores for HUC12s from the 2016 EPA Preliminary Healthy Watersheds Assessment (February 8, 2017 version). (See also PHWA glossary definition)."
"PHWA_Indices","Sub-Index Score, Ecoregion","PHWA_HYDRO_SUBNDX_ER_2016","PHWA Hydrology Sub-Index, ER (2016)","The ecoregional Hydrology Sub-Index score for the HUC12 from the 2016 EPA Preliminary Healthy Watersheds Assessment (PHWA). The Hydrology Sub-Index combines multiple measures of the potential for streams in the HUC12 to support natural flow regimes, including the relative magnitude of impoundments, the prevalence of forest, wetland, and impervious cover, the number of road-stream crossings, and the amount of farmland on hydric soils. Source data were ecoregional Hydrology Sub-Index scores for HUC12s from the 2016 EPA Preliminary Healthy Watersheds Assessment (February 8, 2017 version). (See also PHWA glossary definition)."
"PHWA_Indices","Sub-Index Score, Ecoregion","PHWA_GEO_SUBNDX_ER_2016","PHWA Geomorphology Sub-Index, ER (2016)","The ecoregional Geomorphology Sub-Index score for the HUC12 from the 2016 EPA Preliminary Healthy Watersheds Assessment (PHWA). The Geomorphology Sub-Index combines multiple measures of the potential for the HUC12 to maintain fluvial geomorphic processes within their natural range, including the density of dams and roads, the area drained by surface ditches, and the prevalence of urban and cropped lands in the riparian zone. Source data were ecoregional Geomorphology Sub-Index scores for HUC12s from the 2016 EPA Preliminary Healthy Watersheds Assessment (February 8, 2017 version). (See also PHWA glossary definition)."
"PHWA_Indices","Sub-Index Score, Ecoregion","PHWA_HAB_SUBNDX_ER_2016","PHWA Habitat Sub-Index, ER (2016)","The ecoregional Habitat Sub-Index score for the HUC12 from the 2016 EPA Preliminary Healthy Watersheds Assessment (PHWA). The Habitat Sub-Index characterizes the potential for a HUC12 to support high quality stream habitat based on multiple measures of watershed attributes that were determined to be relevant to fish habitat quality, including the extent of urban and agricultural land cover types, human population density, road length, number of road-stream crossings, number of dams, number of mine operations, number of facilities with National Pollutant Discharge Elimination System (NPDES) wastewater discharge permits, number of sites in the EPA Toxic Release Inventory program, and number of sites on the Superfund National Priorities List. Source data were ecoregional Habitat Sub-Index scores for HUC12s from the 2016 EPA Preliminary Healthy Watersheds Assessment (February 8, 2017 version). (See also PHWA glossary definition)."
"PHWA_Indices","Sub-Index Score, Ecoregion","PHWA_BIO_SUBNDX_ER_2016","PHWA Biological Sub-Index, ER (2016)","The ecoregional Biological Condition Sub-Index score for the HUC12 from the 2016 EPA Preliminary Healthy Watersheds Assessment (PHWA). The Biological Condition Sub-Index measures the likelihood for high-quality stream biological communities in the HUC12, based on a predictive model of stream biological condition that uses watershed attributes as inputs. Source data were ecoregional Biological Condition Sub-Index scores for HUC12s from the 2016 EPA Preliminary Healthy Watersheds Assessment (February 8, 2017 version). (See also PHWA glossary definition)."
"PHWA_Indices","Sub-Index Score, Ecoregion","PHWA_WQ_SUBNDX_ER_2016","PHWA Water Quality Sub-Index, ER (2016)","The ecoregional Water Quality Sub-Index score for the HUC12 from the 2016 EPA Preliminary Healthy Watersheds Assessment (PHWA). The Water Quality Sub-Index measures the proportion of streams and lakes in the HUC12 that are reported to be attaining surface water quality standards versus those reported as having water quality impairments (303d-listed waters) or having Total Maximum Daily Loads (TMDLs) to address water quality impairments. Higher scores correspond to a greater proportion of waters attaining surface water quality standards. Source data were ecoregional Water Quality Sub-Index scores for HUC12s from the 2016 EPA Preliminary Healthy Watersheds Assessment (February 8, 2017 version). (See also PHWA glossary definition)."
"PHWA_Indices","Sub-Index Score, Ecoregion","PHWA_LUVLN_SUBNDX_ER_2016","PHWA Land Use Vuln. Sub-Index, ER (2016)","The ecoregional Land Use Vulnerability Sub-Index score for the HUC12 from the 2016 EPA Preliminary Healthy Watersheds Assessment (PHWA). The Land Use Vulnerability Sub-Index characterizes the vulnerability of aquatic ecosystems in a HUC12 to land use change based on recent (2001-2011) land use change, projected changes in impervious cover, and the extent of protected lands in the watershed. Source data were ecoregional Land Use Vulnerability Sub-Index scores for HUC12s developed as part of the 2016 EPA Preliminary Healthy Watersheds Assessment (February 8, 2017 version). (See also PHWA glossary definition)."
"PHWA_Indices","Sub-Index Score, Ecoregion","PHWA_WUVLN_SUBNDX_ER_2016","PHWA Water Use Vuln. Sub-Index, ER (2016)","The ecoregional Water Use Vulnerability Sub-Index score for the HUC12 from the 2016 EPA Preliminary Healthy Watersheds Assessment (PHWA). The Water Use Vulnerability Sub-Index characterizes the vulnerability of aquatic ecosystems in a HUC12 to future increases in water use based on recent (2005) estimates of agricultural, domestic, and industrial water use in the HUC12. Source data were ecoregional Water Use Vulnerability Sub-Index scores for HUC12s developed as part of the 2016 EPA Preliminary Healthy Watersheds Assessment (February 8, 2017 version). (See also PHWA glossary definition)."
"PHWA_Indices","Sub-Index Score, Ecoregion","PHWA_WFVLN_SUBNDX_ER_2016","PHWA Wildfire Vuln. Sub-Index, ER (2016)","The ecoregional Wildfire Vulnerability Sub-Index score for the HUC12 from the 2016 EPA Preliminary Healthy Watersheds Assessment (PHWA). The Wildfire Vulnerability Sub-Index characterizes the vulnerability of aquatic ecosystems in a HUC12 to the effects of intense wildfires based on a predictive model of wildfire risk in the HUC12. Source data were ecoregional Wildfire Vulnerability Sub-Index scores for HUC12s developed as part of the 2016 EPA Preliminary Healthy Watersheds Assessment (February 8, 2017 version). (See also PHWA glossary definition)."
"PHWA_Indices","Index Percentile, Ecoregion","PHWA_HEALTH_NDX_ER_PCT_2016","PHWA Watershed Health Index Percentile, ER (2016)","The ecoregional Watershed Health Index percentile rank for the HUC12 from the 2016 EPA Preliminary Healthy Watersheds Assessment (PHWA). The Watershed Health Index is an integrated measure of watershed condition that combines Landscape Condition, Hydrologic, Geomorphology, Habitat, Water Quality, and Biological Condition Sub-Index scores. Higher scores correspond to greater potential for a watershed to have the structure and function in place to support healthy aquatic ecosystems. Source data were ecoregional Watershed Health Index scores for HUC12s developed as part of the 2016 EPA Preliminary Healthy Watersheds Assessment (February 8, 2017 version). (See also PHWA glossary definition)."
"PHWA_Indices","Index Percentile, Ecoregion","PHWA_VULN_NDX_ER_PCT_2016","PHWA Watershed Vulnerability Index Percentile, ER (2016)","The ecoregional Watershed Vulnerability Index percentile rank for the HUC12 from the 2016 EPA Preliminary Healthy Watersheds Assessment (PHWA). The Watershed Vulnerability Index characterizes the vulnerability of aquatic ecosystems in a watershed to future alteration based on Land Use Change, Water Use Change, and Wildfire Vulnerability Sub-Index scores. Higher scores correspond to greater potential vulnerability of aquatic ecosystems to future degradation. Source data were ecoregional Watershed Vulnerability Index scores for HUC12s developed as part of the 2016 EPA Preliminary Healthy Watersheds Assessment (February 8, 2017 version). (See also PHWA glossary definition)."
"PHWA_Indices","Sub-Index Percentile, Ecoregion","PHWA_LANDSC_SUBNDX_ER_PCT_2016","PHWA Landscape Sub-Index Percentile, ER (2016)","The ecoregional Landscape Condition Sub-Index percentile rank for the HUC12 from the 2016 EPA Preliminary Healthy Watersheds Assessment (PHWA). The Landscape Condition Sub-Index combines multiple measures of the extent and connectivity of natural land cover in a watershed. Higher scores correspond to greater extent and connectivity of natural land cover. Source data were ecoregional Landscape Condition Sub-Index scores for HUC12s from the 2016 EPA Preliminary Healthy Watersheds Assessment (February 8, 2017 version). (See also PHWA glossary definition)."
"PHWA_Indices","Sub-Index Percentile, Ecoregion","PHWA_HYDRO_SUBNDX_ER_PCT_2016","PHWA Hydrology Sub-Index Percentile, ER (2016)","The ecoregional Hydrology Sub-Index percentile rank for the HUC12 from the 2016 EPA Preliminary Healthy Watersheds Assessment (PHWA). The Hydrology Sub-Index combines multiple measures of the potential for streams in the HUC12 to support natural flow regimes, including the relative magnitude of impoundments, the prevalence of forest, wetland, and impervious cover, the number of road-stream crossings, and the amount of farmland on hydric soils. Source data were ecoregional Hydrology Sub-Index scores for HUC12s from the 2016 EPA Preliminary Healthy Watersheds Assessment (February 8, 2017 version). (See also PHWA glossary definition)."
