"Table_Name","Type","Field_Name","Indicator_Name","Description"
"PHWA_Indicators","Indicator","DASYMETRIC_POPULATION_DEN_WS","Population Density in WS","Human population density in the land area of the HUC12 (persons per square kilometer). Source data used was the EPA EnviroAtlas 'Dasymetric Population for the Conterminous United States' raster (February 2015 version; https://enviroatlas.epa.gov/enviroatlas/DataFactSheets/pdf/Supplemental/DasymetricAllocationofPopulation.pdf). The dasymetric population raster is derived from 2010 US Census Bureau census block populations using a geospatial technique called dasymetric mapping. Dasymetric mapping uses information on land cover and slope to distribute populations to grid pixels within each census block. Equation used: Human Population in HUC12 / (HUC12 Area - Water Mask Area). (See also Water Mask glossary definition)."
"PHWA_Indicators","Indicator","MINET_DEN","Density All Mining in WS","Density of all coal mines, coal mining support activity sites, mineral mines, and mineral processing plants in the HUC12 (count per square kilometer). Source data used was the mine location database described in Daniel et al. 2015 ('Characterizing Coal and Mineral Mines as a Regional Source of Stress to Stream Fish Assemblages', Ecological Indicators), acquired via personal communication with Michigan State University in January 2015. Calculated as the number of points in the mine location database in the HUC12 divided by HUC12 area."
"PHWA_Indicators","Indicator","AG_HYDRIC_PCT_WS","% Agriculture on Hydric Soil in WS","Percent of the HUC12 with agriculture on hydric soils. Calculated by overlaying soils units with ? 80% hydric soils from the Natural Resources Conservation Service Soil Survey Geographic Database (SSURGO) with agricultural land cover classes from a custom land cover dataset that combined the 2006 National Land Cover Database (NLCD 2006) and the 2010 USDA Cropland Data Layer (CDL). Because SSURGO classifies map units as 'percent hydric' rather than hydric or non-hydric, a minimum threshold of 80% hydric soils per map unit was used to distinguish hydric soils from non-hydric soils. Equation used: Area of Agriculture on Hydric Soils / HUC12 Area * 100. This indicator was calculated for EPA EnviroAtlas. Additional information on source data and calculation methods can be found at: https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=%7B167113DA-E941-4CB3-8E93-8FE2600C08DA%7D"
"PHWA_Indicators","Indicator","DAM_STORAGE_RATIO","Dam Storage Ratio in WS","The ratio of dam storage volume in the HUC12 to pre-development annual streamflow at the HUC12 outlet (acre-feet/acre-feet per year). Source data for dam storage was the 2012 National Anthropogenic Barrier Dataset (NABD; https://www.sciencebase.gov/catalog/item/537f6a7de4b021317a86e594; downloaded August 2013), a national geospatial dataset of dam locations and attributes. The NABD was created by editing the US Army Corps of Engineer's 2009 National Inventory of Dams (NID) to delete dams removed after the release of the 2009 NID and duplicate dams along state boundaries. Dam storage volume was calculated by summing the normal storage volume reported in the 2012 NABD for dams located in the HUC12. For dams with normal storage volume reported as zero acre-feet, the maximum storage volume was used instead. Source data for streamflow was the NHDPlus2 Extended Unit Runoff Method (EROM) attribute table (http://www.horizon-systems.com/NHDPlus/NHDPlusV2_data.php; downloaded February 2016). The NHDPlus2 EROM table contains pre-development mean annual flow estimates for the period 1971-2000 for stream features in the NHDPlus2. Pre-development mean annual streamflow at the HUC12 outlet was set to the value reported for the NHDPlus2 stream reach located at the HUC12 outlet in the NHDPlus2 EROM table (field Q0001C). Blank values indicate that the HUC12 contains a dam but does not have dam storage reported in the NABD and/or does not have reference streamflow reported in NHDPlus2."
"PHWA_Indicators","Indicator","PCT_FOREST_REMAIN","% Forest Remaining in WS","Percent of forest cover remaining relative to pre-development forest cover in the HUC12. Source data were the Existing Vegetation Type (EVT) geospatial grid dataset (March 2013 version) and the Biophysical Settings (BPS) geospatial grid dataset (January 2010 version) from the Landscape Fire and Resource Management Planning Tools (LANDFIRE) program (http://www.landfire.gov/viewer/). The EVT grid classifies existing vegetative cover across the US at 30-meter resolution. The BPS grid classifies vegetative cover that may have been dominant before Euro-American settlement across the at 30-meter resolution. Vegetation classes in the EVT grid were generalized to 'Forest' or 'Non-Forest' based on descriptive attributes to calculate the area of remaining forest cover in the HUC12. Vegetation classes in the BPS grid were generalized to 'Forest' or 'Non-Forest' based on descriptive attributes to calculate the area of pre-development forest cover in the HUC12. Equation used: Existing Forest Area in HUC12 / Pre-Development Forest Area in HUC12 * 100. Only calculated for HUC12s with pre-development forest area greater than or equal to 5% of HUC12 area."
"PHWA_Indicators","Indicator","PCT_WETLANDS_REMAINING","% Wetlands Remaining in WS","Percent of wetland cover remaining relative to pre-development wetland cover in the HUC12. Source data were the Existing Vegetation Type (EVT) geospatial grid dataset (March 2013 version) and the Environmental Site Potential (ESP) geospatial grid dataset (January 2010 version) from the Landscape Fire and Resource Management Planning Tools (LANDFIRE) program (http://www.landfire.gov/viewer/). The EVT grid classifies existing vegetative cover across the US at 30-meter resolution. The ESP grid classifies the climax vegetative cover that could be supported at a given site in the absence of human development at 30-meter resolution. Vegetation classes in the EVT grid were generalized to 'Wetland' or 'Non-Wetland' based on descriptive attributes to calculate the area of remaining wetland cover in the HUC12. Vegetation classes in the ESP grid were generalized to 'Wetland' or 'Non-Wetland' based on descriptive attributes to calculate the area of pre-development wetland cover in the HUC12. Equation used: Existing Wetland Area in HUC12 / Pre-Development Wetland Area in HUC12 * 100. Only calculated for HUC12s with pre-development wetland area greater than or equal to 1% of HUC12 area."
"PHWA_Indicators","Indicator","PCT_IMPERVIOUSNESS2011_MEAN_WS","% Imperviousness, Mean in WS (2011)","Percent of the HUC12 with developed impervious cover. Source data was the 2011 National Land Cover Database (NLCD) Percent Developed Imperviousness dataset (October 2014 version; http://www.mrlc.gov/nlcd11_data.php). Calculated as the mean value of percent developed imperviousness in the HUC12."
"PHWA_Indicators","Indicator","ROAD_2015_STRM_X_DENS_WS","Density Road-Stream Crossing in WS (2015)","Density of road-stream crossings in the HUC12 (number of crossings per square kilometer). Source data were the US Census Bureau TIGER Roads National Geodatabase (2015 version) and the NHDPlus2 CatSeed grid (downloaded October 2012; http://www.horizon-systems.com/NHDPlus/NHDPlusV2_data.php). Equation used: Number of Road-Stream Crossings / HUC12 Area."
"PHWA_Indicators","Indicator","DAM_DENSITY_PER_KM_STRM","Dam Density in WS","Dam density in the HUC12 (dam count per stream kilometer). Source data for dam count was the 2012 National Anthropogenic Barrier Dataset (NABD; https://www.sciencebase.gov/catalog/item/537f6a7de4b021317a86e594; downloaded August 2013), a national geospatial dataset of dam locations and attributes. The 2012 NABD was created by editing the US Army Corps of Engineer's 2009 National Inventory of Dams (NID) to delete dams removed after the release of the 2009 NID and duplicate dams along state boundaries. Source data for stream length was the NHDPlus2 NHD Snapshot.  Stream length includes the length of all linear NHD Snapshot features in the HUC12 with FTYPE (feature type) equal to StreamRiver, CanalDitch, or Connector; linear features with FTYPE equal to ArtificialPath are only included if they pass through a NHDArea feature with FTYPE equal to StreamRiver. Calculated by dividing the count of dams in the HUC12 by streamlength in the HUC12. (See also NHD Snapshot glossary definition)."
"PHWA_Indicators","Indicator","DITCH_DRAINAGE_WS_PCT","% Ditch Drained Area in WS","Percent of the HUC12 that is drained by artificial surface ditches. Surface ditches collect and convey water from the surface of agricultural fields.  Source data was the USGS 'Attributes for NHDPlus Catchments (Version 1.1) in the Conterminous United States: Artificial Drainage (1992) and Irrigation Types (1997)' dataset (2010 version; http://water.usgs.gov/GIS/metadata/usgswrd/XML/nhd_adrain.xml#stdorder). The USGS dataset reports the ditch drained area for each catchment in the NHDPlus Version 1.1 dataset based on artificial drainage information in the US Department of Agriculture 1992 National Resources Inventory. Ditch drained areas for catchments were aggregated to HUC12 values by calculating the area-weighted sum for catchments that intersect each HUC12. Equation used: Ditch Drained Area in HUC12 / HUC12 Area * 100."
"PHWA_Indicators","Indicator","ROADS_ALL_DENSITY_2014_RZ","Density All Roads in RZ (2015)","Density of all roads in the Riparian Zone (RZ) of the HUC12 (kilometer per square kilometer). Source data used was the 2015 TIGER Roads National Geodatabase from the US Census Bureau (https://www.census.gov/geo/maps-data/data/tiger-geodatabases.html; downloaded March 2016). Linear road features in the geodatabase were converted to a 10 meter resolution grid and road length was calculated as the area of road grid pixels in the RZ divided by pixel length. Road density in the RZ was calculated as: Road Length in RZ / RZ Area. Includes roads with MTFCC code equal to S1100 (primary road), S1200 (secondary road), S1400 (local road), S1500 (vehicular trail), S1630 (ramp), S1640 (service drive), S1730 (alley), S1740 (private road), or S1780 (parking lot road) in the 2015 TIGER Roads National Geodatabase. Features with MTFCC code equal to S1710 (walkway), S1720 (stairway), S1820 (bike path), S1830 (bridle path), and S2000 (unpaved median) were classified as non-road features and not counted. (See also Riparian Zone glossary definition)."
"PHWA_Indicators","Indicator","CROP_MH_URB_CDLNLCD11_PCT_RZ","% High Intensity Land Cover in RZ (2011)","Percent of the HUC12 that is in the Riparian Zone and classified as high-intensity land cover by the 2011 CDL-NLCD Hybrid Land Cover dataset. High-intensity land cover classes are defined as cultivated crops (non-pasture agriculture), medium-density urban, and high-density urban; codes 1 through 35, 38 through 57, 66 through 92, 123 through 124, 182, and 204 through 254 in the 2011 CDL-NLCD Hybrid Land Cover dataset. Calculated as the sum cultivated crop, medium-density urban, and high-density urban area in the Riparian Zone, divided by HUC12 area, multiplied by 100. (See also 2011 CDL-NLCD Hybrid Land Cover and Riparian Zone glossary definitions)."
"PHWA_Indicators","Indicator","NFHP15_HCI_LOCAL_WS","Habitat Condition Index WS (2015)","Mean Habitat Condition Index (HCI) score for the HUC12 from the National Fish Habitat Partnership (NFHP) 2015 National Assessment. Scores range from 1 (high likelihood of aquatic habitat degradation) to 5 (low likelihood of aquatic habitat degradation) based on land use, population density, roads, dams, mines, and point-source pollution sites. Source data were NFHP 2015 National Assessment Local Catchment HCI scores for NHDPlus Version 1 catchments (acquired via personal communication with NFHP in March 2016). NHDPlus Version 1 catchments are local drainage area delineations for surface water features in the NHDPlus Version 1 database. Catchment HCI scores were aggregated to HUC12 scores by calculating the area-weighted mean of HCI scores for catchments that intersect the HUC12. See http://ecosystems.usgs.gov/fishhabitat/nfhap_download.jsp for more information on the NFHP National Assessment."
"PHWA_Indicators","Indicator","NRSA_AQUATIC_COND_MEAN","Mean Probability of Good Biological Condition","Area-weighted mean probability of good biological condition of perennial stream reaches in the HUC12. Probabilities were originally calculated on NHDPlus catchment areas overlaying perennial stream reaches with predicted biological condition scores. Score per HUC12 was derived from the area-weighted averaging of multiple catchment probability scores within the HUC.  Source data: EPA Office of Research and Development StreamCat-based model of NRSA biological condition and the NHDPlus2 hydrography (See also NHDPlus2 glossary definition)"
"PHWA_Indicators","Indicator","NRSA_AQUATIC_COND_OUTLET","Biological Condition Score at Watershed Outlet","Probability of good biological condition in most downstream perennial stream reach of HUC12.  Probabilities were originally calculated on NHDPlus catchment areas overlaying perennial stream reaches with predicted biological condition scores. Score per HUC12 is the most downstream catchment probability in the HUC. Source data: EPA Office of Research and Development StreamCat-based model of NRSA biological condition and the NHDPlus2 hydrography (See also NHDPlus2 glossary definition)"
"PHWA_Indicators","Indicator","STREAMLGTH_SUP_IMP_DIFF_PCTA","% Assessed Supporting Minus Impaired Streamlength","Difference between the percent (%) of assessed streamlength in each HUC12 that fully supports its designated uses and the percent (%) of assessed streamlength in each HUC12 designated as impaired (i.e., [% assessed streamlength fully supporting uses] - [% assessed streamlength impaired]). Source data use: 305(b) Assessed Waters Dataset, NHD Snapshot, and NHDPlus2. (See also 305(b) Assessed Waters Dataset, NHD Snapshot, and NHDPlus2 glossary definitions)."
"PHWA_Indicators","Indicator","WBAREA_SUP_IMP_DIFF_PCTA","% Assessed Supporting Minus Impaired Waterbody Area","Difference between the percent (%) of assessed waterbody area in each HUC12 that fully supports its designated uses and the percent (%) of assessed waterbody area in each HUC12 designated as impaired (i.e., [% assessed waterbody area fully supporting uses] - [% assessed waterbody area impaired]). Source data use: 305(b) Assessed Waters Dataset, NHD Snapshot, and NHDPlus2. (See also 305(b) Assessed Waters Dataset, NHD Snapshot, and NHDPlus2 glossary definitions)."
"PHWA_Indicators","Indicator","U_INDEX_CHG_2001_11_PCT_WS","% Human Use Change, U-Index1 Chng in WS (2001-11)","The change in the percentage of the HUC12 with human use land cover (excluding barren land) from 2001 to 2011. Source data was the National Land Cover Database 2011 (NLCD 2011) 2001 to 2011 Land Cover From To Change Index dataset, March 2014 version (http://www.mrlc.gov/nlcd11_data.php; downloaded April 2015). Human use cover classes included in the U-Index1 are 'Developed, Open Space', 'Developed, Low Intensity', 'Developed, Medium Intensity', 'Developed, High Intensity', 'Pasture/Hay', and 'Cultivated Crops' cover classes; codes 21 through 24, 81, and 82 in the 2001 to 2011 Land Cover From To Change Index dataset. Positive values denote an increase in U-Index1; negative values denote a decrease in U-Index1. Does not count areas that changed to/from the 'Open Water' class (code 11) since these were assumed to be errors. Equation used: (Area Changing to U-Index1 - Area Changing From U-Index1)/(HUC12 Area) * 100."
"PHWA_Indicators","Indicator","U_INDEX2_CHG_2001_11_PCT_WS","% Human Use Change, U-Index2 Chng in WS (2001-11)","The change in the percentage of the HUC12 with human use land cover (including barren land) from 2001 to 2011. Source data was the National Land Cover Database 2011 (NLCD 2011) 2001 to 2011 Land Cover From To Change Index dataset, March 2014 version (http://www.mrlc.gov/nlcd11_data.php; downloaded April 2015). Human use cover classes included in the U-Index2 are 'Developed, Open Space', 'Developed, Low Intensity', 'Developed, Medium Intensity', 'Developed, High Intensity', 'Barren Land (Rock/Sand/Clay)', 'Pasture/Hay', and 'Cultivated Crops' cover classes; codes 21 through 24, 31, 81, and 82 in the 2001 to 2011 Land Cover From To Change Index dataset. Positive values denote an increase in U-Index2; negative values denote a decrease in U-Index2. Does not count areas that changed to/from the 'Open Water' class (code 11) since these were assumed to be errors. Equation used: (Area Changing to U-Index2 - Area Changing From U-Index2)/(HUC12 Area) * 100."
"PHWA_Indicators","Indicator","U_INDEX_CHG_2001_11_PCT_RZ","% Human Use Change, U-Index1 Chng in RZ (2001-11)","The change in the percentage of the HUC12 with human use land cover (excluding barren land) in the Riparian Zone (RZ) from 2001 to 2011. Source data was the National Land Cover Database 2011 (NLCD 2011) 2001 to 2011 Land Cover From To Change Index dataset, March 2014 version (http://www.mrlc.gov/nlcd11_data.php; downloaded April 2015). Human use cover classes included in the U-Index1 are 'Developed, Open Space', 'Developed, Low Intensity', 'Developed, Medium Intensity', 'Developed, High Intensity', 'Pasture/Hay', and 'Cultivated Crops' cover classes; codes 21 through 24, 81, and 82 in the 2001 to 2011 Land Cover From To Change Index dataset. Positive values denote an increase in U-Index1; negative values denote a decrease in U-Index1. Does not count areas that changed to/from the 'Open Water' class (code 11) since these were assumed to be errors. Equation used: (Area Changing to U-Index1 in the RZ - Area Changing From U-Index1 in the RZ)/(HUC12 Area) * 100. (See also Riparian Zone glossary definition)."
"PHWA_Indicators","Indicator","U_INDEX2_CHG_2001_11_PCT_RZ","% Human Use Change, U-Index2 Chng in RZ (2001-11)","The change in the percentage of the HUC12 with human use land cover (including barren land) from 2001 to 2011. Source data was the National Land Cover Database 2011 (NLCD 2011) 2001 to 2011 Land Cover From To Change Index dataset, March 2014 version (http://www.mrlc.gov/nlcd11_data.php; downloaded April 2015). Human use cover classes included in the U-Index2 are 'Developed, Open Space', 'Developed, Low Intensity', 'Developed, Medium Intensity', 'Developed, High Intensity', 'Barren Land (Rock/Sand/Clay)', 'Pasture/Hay', and 'Cultivated Crops' cover classes; codes 21 through 24, 31, 81, and 82 in the 2001 to 2011 Land Cover From To Change Index dataset. Positive values denote an increase in U-Index2; negative values denote a decrease in U-Index2. Does not count areas that changed to/from the 'Open Water' class (code 11) since these were assumed to be errors. Equation used: (Area Changing to U-Index2 in the RZ - Area Changing From U-Index2 in the RZ)/(HUC12 Area) * 100. (See also Riparian Zone glossary definition)."
"PHWA_Indicators","Indicator","ICLUS_IC_DIFF_PCT","Impervious Cover Projected Change (2010-2050)","The projected change in the percentage of impervious surface cover in the HUC12 from 2010 to 2050. Source data was the Integrated Climate and Land-Use Scenarios (ICLUS) Percent Impervious Surface Projection geospatial dataset for the baseline scenario (http://www.epa.gov/iclus/iclus-downloads#tab-1; Version 1.3; downloaded October 2015 ). The ICLUS Percent Impervious Surface Projection dataset is comprised of national grids of percent impervious cover at 1 kilometer resolution for each decade from 2010 to 2100. Mean percent impervious cover in 2010 and 2050 was calculated for each HUC12 from ICLUS grids. The projected change in impervious surface was then calculated by subtracting 2010 mean percent impervious cover from 2050 mean percent impervious cover. For more information on ICLUS data see: https://edg.epa.gov/metadata/rest/document?id=%7B4D34EB4D-FDD9-4612-98DE-3C723B6B0095%7D&xsl=metadata_to_html_full."
"PHWA_Indicators","Indicator","GAP_PROT_1_2_PCT_WS","% GAP Status 1 and 2","Percent of the HUC12 designated as having Status 1 or Status 2 protection by the USGS Gap Analysis Program. Status 1 lands are defined as having permanent protection from conversion of natural land cover and a mandated management plan in operation to maintain a natural state within which disturbance events (of natural type, frequency, intensity, and legacy) are allowed to proceed without interference or are mimicked through management. Status 2 lands are defined as having permanent protection from conversion of natural land cover and a mandated management plan in operation to maintain a primarily natural state, but which may receive uses or management practices that degrade the quality of existing natural communities, including suppression of natural disturbance. These include lands held by national, state, or local governments or non-profit organizations, as well as voluntarily protected private lands. Source data used was the Protected Areas Database of the United States Version 1.2 from the USGS Gap Analysis Program (http://gapanalysis.usgs.gov/). Equation used: (Status 1 Area + Status 2 Area) / HUC12 Area * 100. This indicator was calculated for EPA EnviroAtlas. Additional information on source data and calculation methods can be found at: https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=%7BC5FFDE8E-7C27-4F50-AFEF-082E8A08C00A%7D"
"PHWA_Indicators","Indicator","AG_H2O_USE_05_WS","Agricultural Water Demand in WS","Daily agricultural water use in the HUC12 (million gallons per day). Agricultural water use includes surface and groundwater that is self-supplied by agricultural producers or supplied by water providers (governments, private companies, or other organizations). Water used in a HUC12 may originate from within or outside the HUC12. Calculated by downscaling county water use estimates for 2005 reported by US Geological Survey ('Estimated Use of Water in the United States County-Level Data for 2005') using the 2006 National Land Cover Database (2006 NLCD) Land Cover dataset, the 2010 Cropland Data Layer, and a custom geospatial dataset of irrigated area locations. Counties with zero reported water use were assigned a state-level average value to address issues with water use reporting. This indicator was calculated for EPA EnviroAtlas. Detailed information on source data and calculation methods can be found at: https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=%7BD5113083-CFCD-48EC-BC24-0ADA5B9BDDB7%7D"
"PHWA_Indicators","Indicator","DOM_H2O_USE_MGD_2005_WS","Domestic Water Demand in WS","Daily domestic water use in the HUC12 (million gallons per day). Domestic water use includes indoor and outdoor household uses, such as drinking, bathing, cleaning, landscaping, and pools. Domestic water can include surface or groundwater that is self-supplied by households or publicly-supplied. Water used in a HUC12 may originate from within or outside the HUC12. Calculated by downscaling county water use estimates for 2005 reported by US Geological Survey ('Estimated Use of Water in the United States County-Level Data for 2005') using the 2006 National Land Cover Database (2006 NLCD) Land Cover dataset and 2010 US Census population estimates from the US Census Bureau. This indicator was calculated for EPA EnviroAtlas. Additional information on source data and calculation methods can be found at: https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=%7BC6DBEBAB-03EF-43C8-8DCA-8D2845E06A96%7D"
"PHWA_Indicators","Indicator","IND_H2O_USE_MGD_WS","Industrial Water Demand in WS","Daily industrial water use in the HUC12 (million gallons per day). Industrial water use includes water used for chemical, food, paper, wood, and metal production. Only includes self-supplied surface water or groundwater by private wells or reservoirs. Industrial water supplied by public water utilities is not counted. Water used in a HUC12 may originate from within or outside the HUC12. Calculated by downscaling county water use estimates for 2005 reported by US Geological Survey ('Estimated Use of Water in the United States County-Level Data for 2005') using a geospatial dataset on the location of industrial facilities as of 2009/10. Water use by industrial facilities in counties that were reported to have zero industrial water use in the USGS dataset was estimated from values for nearby facilities. This indicator was calculated for EPA EnviroAtlas. Additional information on source data and calculation methods can be found at: https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=%7B4E58C04B-8A17-4B07-9EE4-1D9365D5B0D9%7D"
"PHWA_Indicators","Indicator","MEAN_WILDFIRE_RISK","Wildfire Hazard Potential, Mean in WS","The mean wildfire hazard potential in the HUC12. Wildfire hazard potential ranges from 1 (very low risk of wildfire) to 5 (very high risk of wildfire) and depict the relative potential for the occurrence of wildfire that would be difficult for suppression resources to contain. Source data was the 2014 USDA Forest Service Wildfire Hazard Potential geospatial grid dataset (http://www.firelab.org/document/classified-2014-whp-gis-data-and-maps; downloaded January 2016). The Wildfire Hazard Potential grid is a 30-meter resolution grid of wildfire potential derived from spatial estimates of wildfire likelihood and intensity generated in 2014 with the Large Fire Simulator (FSim), spatial fuels and vegetation data from LANDFIRE 2010, and point locations of fire occurrence. Calculated as the average of wildfire hazard potential for grid pixels in the HUC12. Areas not assigned a Wildfire Hazard Potential value (non-burnable lands and water) were excluded from the mean calculation."
"PHWA_Indicators","Indicator","HVH_WILDFIRE_RISK_PCT","% High or Very High Wildfire Hazard Potential WS","Percent of the HUC12 with high or very high wildfire hazard potential. Wildfire hazard potential ranges from 1 (very low risk of wildfire) to 5 (very high risk of wildfire) and depict the relative potential for the occurrence of wildfire that would be difficult for suppression resources to contain. Source data was the 2014 USDA Forest Service Wildfire Hazard Potential geospatial grid dataset (http://www.firelab.org/document/classified-2014-whp-gis-data-and-maps; downloaded January 2016). The Wildfire Hazard Potential grid is a 30-meter resolution grid of wildfire potential derived from spatial estimates of wildfire likelihood and intensity generated in 2014 with the Large Fire Simulator (FSim), spatial fuels and vegetation data from LANDFIRE 2010, and point locations of fire occurrence. Equation Used: Area of High or Very High Wildfire Hazard Potential / HUC12 Area * 100."
